"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","should launch the Belajar Bareng app","Belajar Bareng - Open App","2026-08-29","passed","2026-08-29","","","",""
"","9","should launch the SauceLabs Demo app","SauceLabs Demo - Open App","2026-08-29","passed","2026-08-29","","","",""
